OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;55 år;Ugift;2021K1;16479
Hele landet;56 år;Gift/separeret;2021K1;48683
Hele landet;56 år;Ugift;2021K1;15885
Hele landet;57 år;Gift/separeret;2021K1;47832
Hele landet;57 år;Ugift;2021K1;15139
Hele landet;58 år;Gift/separeret;2021K1;45335
Hele landet;58 år;Ugift;2021K1;13536
Hele landet;59 år;Gift/separeret;2021K1;44362
Hele landet;59 år;Ugift;2021K1;12795
Hele landet;60 år;Gift/separeret;2021K1;44337
Hele landet;60 år;Ugift;2021K1;12141
Hele landet;61 år;Gift/separeret;2021K1;42863
Hele landet;61 år;Ugift;2021K1;11176
Hele landet;62 år;Gift/separeret;2021K1;43036
Hele landet;62 år;Ugift;2021K1;10770
Hele landet;63 år;Gift/separeret;2021K1;42587
Hele landet;63 år;Ugift;2021K1;10172
Hele landet;64 år;Gift/separeret;2021K1;43016
Hele landet;64 år;Ugift;2021K1;9542
Hele landet;65 år;Gift/separeret;2021K1;41995
Hele landet;65 år;Ugift;2021K1;8891
Hele landet;66 år;Gift/separeret;2021K1;40936
Hele landet;66 år;Ugift;2021K1;8049
Hele landet;67 år;Gift/separeret;2021K1;41412
Hele landet;67 år;Ugift;2021K1;7590
Hele landet;68 år;Gift/separeret;2021K1;40314
Hele landet;68 år;Ugift;2021K1;6815
Hele landet;69 år;Gift/separeret;2021K1;39255
Hele landet;69 år;Ugift;2021K1;6044
Hele landet;70 år;Gift/separeret;2021K1;39687
Hele landet;70 år;Ugift;2021K1;5551
Hele landet;71 år;Gift/separeret;2021K1;39090
Hele landet;71 år;Ugift;2021K1;4858
Hele landet;72 år;Gift/separeret;2021K1;40513
Hele landet;72 år;Ugift;2021K1;4531
Hele landet;73 år;Gift/separeret;2021K1;41985
Hele landet;73 år;Ugift;2021K1;4291
Hele landet;74 år;Gift/separeret;2021K1;41936
Hele landet;74 år;Ugift;2021K1;3923
Hele landet;75 år;Gift/separeret;2021K1;38818
Hele landet;75 år;Ugift;2021K1;3338
Hele landet;76 år;Gift/separeret;2021K1;34652
Hele landet;76 år;Ugift;2021K1;2907
Hele landet;77 år;Gift/separeret;2021K1;29992
Hele landet;77 år;Ugift;2021K1;2471
Hele landet;78 år;Gift/separeret;2021K1;26649
Hele landet;78 år;Ugift;2021K1;2032
Hele landet;79 år;Gift/separeret;2021K1;22041
Hele landet;79 år;Ugift;2021K1;1684
Hele landet;80 år;Gift/separeret;2021K1;19625
